Product_ID,Product_Name,Category,Supplier,Warehouse,Stock_Level,Reorder_Point,Unit_Cost,Unit_Price,Turnover_Rate,Last_Restocked_Date,Expiry_Date
SKU-00001,Smart Jacket,Apparel,Supplier_Gamma,Warehouse_South,56,45,25.88,55.74,2.22,04/15/2026,
SKU-00002,Advanced Wiper Blades,Automotive,Supplier_Zeta,Warehouse_South,50,31,10.76,25.68,3.27,06/16/2026,
SKU-00003,Wireless Blender,Home & Kitchen,Supplier_Nova,Warehouse_Central,30,11,24.98,32.55,1.74,05/05/2026,
SKU-00004,Advanced Desk Organizer,Office Supplies,Supplier_Orion,Warehouse_North,79,57,8.75,19.49,5.23,05/18/2026,
SKU-00005,Basic Snack Bar,Grocery,Supplier_Atlas,Warehouse_South,5,35,17.22,23.07,2.53,07/02/2026,04/19/2026
SKU-00006,Ultra Cereal Box,Grocery,Supplier_Orion,Warehouse_East,81,59,32.56,79.83,1.96,01/27/2026,07/06/2027
SKU-00007,Deluxe Keyboard,Electronics,Supplier_Omega,Warehouse_Central,0,41,58.04,131.17,5.18,05/18/2026,
SKU-00008,Classic Camping Chair,Sports & Outdoors,Supplier_Nova,Warehouse_North,53,32,15.98,33.61,0.87,04/14/2026,
SKU-00009,Portable Stapler,Office Supplies,Supplier_Vertex,Warehouse_East,113,49,35.63,68.23,4.85,01/25/2026,
SKU-00010,Basic Kettle,Home & Kitchen,Supplier_Delta,Warehouse_West,73,55,12.52,30.01,2.12,07/02/2026,
SKU-00011,Deluxe Headphones,Electronics,Supplier_Omega,Warehouse_Central,93,27,5.12,6.94,2.06,02/08/2026,
SKU-00012,Wireless Car Charger,Automotive,Supplier_Summit,Warehouse_Overflow,52,28,22.39,30.41,1.07,03/02/2026,
SKU-00013,Compact Water Bottle,Sports & Outdoors,Supplier_Epsilon,Warehouse_Central,179,33,18.17,41.23,5.04,06/27/2026,
SKU-00014,Pro Juice Bottle,Grocery,Supplier_Atlas,Warehouse_West,30,13,15.05,27.5,1.01,04/03/2026,10/24/2027
SKU-00015,Eco Juice Bottle,Grocery,Supplier_Theta,Warehouse_East,95,55,33.43,76.84,4.42,06/12/2026,05/21/2026
SKU-00016,Classic Tea Pack,Grocery,Supplier_Gamma,Warehouse_North,112,11,38.16,65.17,0.66,03/06/2026,01/07/2027
SKU-00017,Pro Jacket,Apparel,Supplier_Gamma,Warehouse_West,88,39,27.91,49.89,3.38,05/13/2026,
SKU-00018,Heavy-Duty Whiteboard,Office Supplies,Supplier_Orion,Warehouse_Overflow,0,58,55.33,90.28,2.5,01/17/2026,
SKU-00019,Advanced Bookshelf,Furniture,Supplier_Gamma,Warehouse_West,25,47,21.65,52.74,6.18,03/23/2026,
SKU-00020,Eco Olive Oil,Grocery,Supplier_Sigma,Warehouse_North,556,40,2.61,4.71,1.14,05/20/2026,03/17/2028
SKU-00021,Deluxe Action Figure,Toys,Supplier_Pioneer,Warehouse_East,42,49,7.95,17.34,14.66,06/13/2026,
SKU-00022,Wireless Headphones,Electronics,Supplier_Zeta,Warehouse_West,105,25,6.87,14.46,0.4,03/15/2026,
SKU-00023,Deluxe Olive Oil,Grocery,Supplier_Omega,Warehouse_West,116,42,27.92,42.04,5.0,03/10/2026,10/27/2026
SKU-00024,Smart Jacket,Apparel,Supplier_Omega,Warehouse_West,96,59,10.0,23.88,1.99,06/27/2026,
SKU-00025,Standard Sofa,Furniture,Supplier_Sigma,Warehouse_East,2,12,7.47,14.25,7.0,05/23/2026,
SKU-00026,Wireless Storage Container,Home & Kitchen,Supplier_Alpha,Warehouse_South,108,27,47.79,110.52,1.15,06/10/2026,
SKU-00027,Ultra Snack Bar,Grocery,Supplier_Zeta,Warehouse_Overflow,91,19,17.12,39.07,3.52,07/03/2026,12/16/2026
SKU-00028,Pro Pen Pack,Office Supplies,Supplier_Delta,Warehouse_West,94,11,18.12,23.13,2.68,04/18/2026,
